specialty cheese,chewing gum,,,,,,,,,,,,
whipped/sour cream,domestic eggs,bottled water,soda,,,,,,,,,,
tropical fruit,pip fruit,other vegetables,butter milk,yogurt,whipped/sour cream,UHT-milk,margarine,sugar,waffles,,,,
UHT-milk,canned beer,,,,,,,,,,,,
root vegetables,semi-finished bread,specialty bar,,,,,,,,,,,
frankfurter,sausage,butter,dessert,spread cheese,white bread,pastry,coffee,waffles,,,,,
pip fruit,other vegetables,whole milk,butter milk,yogurt,cream cheese ,pasta,fruit/vegetable juice,dental care,hygiene articles,kitchen towels,photo/film,,
pip fruit,soft cheese,tidbits,,,,,,,,,,,
whipped/sour cream,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
oil,,,,,,,,,,,,,
white bread,bottled beer,,,,,,,,,,,,
soda,specialty bar,,,,,,,,,,,,
hygiene articles,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,
dessert,yogurt,brown bread,pastry,soda,long life bakery product,cake bar,light bulbs,,,,,,
cereals,specialty chocolate,pot plants,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
frankfurter,soda,shopping bags,,,,,,,,,,,
sausage,other vegetables,cream cheese ,domestic eggs,soda,,,,,,,,,
UHT-milk,cream cheese ,spread cheese,rolls/buns,,,,,,,,,,
misc. beverages,specialty chocolate,,,,,,,,,,,,
baking powder,,,,,,,,,,,,,
bottled water,soda,,,,,,,,,,,,
meat,chicken,berries,yogurt,whipped/sour cream,cream cheese ,mayonnaise,brown bread,long life bakery product,,,,,
bottled water,bottled beer,,,,,,,,,,,,
pork,pip fruit,,,,,,,,,,,,
tropical fruit,pip fruit,soda,white wine,,,,,,,,,,
citrus fruit,pip fruit,root vegetables,other vegetables,butter,UHT-milk,frozen vegetables,pastry,margarine,sugar,soups,soda,bottled beer,long life bakery product
rolls/buns,soda,canned beer,,,,,,,,,,,
meat spreads,specialty bar,,,,,,,,,,,,
brown bread,bottled water,specialty bar,,,,,,,,,,,
bottled water,,,,,,,,,,,,,
frankfurter,UHT-milk,oil,bottled water,canned beer,,,,,,,,,
pork,citrus fruit,pip fruit,root vegetables,other vegetables,dessert,butter milk,sliced cheese,processed cheese,fruit/vegetable juice,chocolate,shopping bags,,
yogurt,hard cheese,rolls/buns,sweet spreads,soda,misc. beverages,specialty chocolate,hygiene articles,napkins,,,,,
soda,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,
citrus fruit,herbs,other vegetables,curd,,,,,,,,,,
citrus fruit,,,,,,,,,,,,,
sausage,domestic eggs,pastry,bottled water,newspapers,,,,,,,,,
decalcifier,,,,,,,,,,,,,
sausage,ham,meat,butter,UHT-milk,mayonnaise,baking powder,bottled water,fruit/vegetable juice,,,,,
beef,chocolate,,,,,,,,,,,,
hamburger meat,ketchup,,,,,,,,,,,,
mayonnaise,white bread,soda,,,,,,,,,,,
fruit/vegetable juice,chewing gum,,,,,,,,,,,,
finished products,pip fruit,other vegetables,domestic eggs,margarine,bottled beer,newspapers,,,,,,,
chicken,other vegetables,bottled beer,canned beer,sparkling wine,chocolate,newspapers,pot plants,,,,,,
whole milk,dessert,soda,bottled beer,,,,,,,,,,
ham,root vegetables,other vegetables,dessert,brown bread,pasta,margarine,bottled water,fruit/vegetable juice,red/blush wine,,,,
liquor,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
dog food,cling film/bags,,,,,,,,,,,,
citrus fruit,tropical fruit,yogurt,UHT-milk,domestic eggs,mustard,canned fish,,,,,,,
tropical fruit,dessert,yogurt,domestic eggs,oil,fruit/vegetable juice,,,,,,,,
beef,citrus fruit,root vegetables,bottled water,soda,fruit/vegetable juice,pot plants,,,,,,,
photo/film,,,,,,,,,,,,,
chicken,butter,UHT-milk,spread cheese,bottled beer,salty snack,waffles,chewing gum,,,,,,
sausage,rolls/buns,misc. beverages,fruit/vegetable juice,,,,,,,,,,
whole milk,,,,,,,,,,,,,
meat,other vegetables,white bread,newspapers,,,,,,,,,,
whole milk,rolls/buns,specialty chocolate,candy,,,,,,,,,,
beef,root vegetables,whole milk,butter,yogurt,soda,abrasive cleaner,newspapers,,,,,,
ham,meat,berries,other vegetables,whole milk,butter,yogurt,processed cheese,specialty cheese,white bread,margarine,specialty bar,,
sausage,meat,other vegetables,frozen vegetables,rolls/buns,,,,,,,,,
sausage,brown bread,roll products ,coffee,dish cleaner,,,,,,,,,
ham,other vegetables,yogurt,domestic eggs,semi-finished bread,newspapers,,,,,,,,
pork,other vegetables,rolls/buns,canned fish,chocolate,,,,,,,,,
canned beer,specialty bar,,,,,,,,,,,,
chicken,bottled water,liquor (appetizer),,,,,,,,,,,
beef,hamburger meat,tropical fruit,pip fruit,other vegetables,whole milk,butter milk,yogurt,ice cream,rolls/buns,pastry,fruit/vegetable juice,,
yogurt,condensed milk,pet care,house keeping products,shopping bags,,,,,,,,,
tropical fruit,whole milk,margarine,sugar,,,,,,,,,,
chicken,root vegetables,rolls/buns,margarine,bottled water,,,,,,,,,
flower soil/fertilizer,,,,,,,,,,,,,
other vegetables,whole milk,waffles,,,,,,,,,,,
frozen vegetables,domestic eggs,pastry,,,,,,,,,,,
margarine,,,,,,,,,,,,,
meat,,,,,,,,,,,,,
meat,newspapers,,,,,,,,,,,,
pip fruit,canned beer,white wine,,,,,,,,,,,
ham,citrus fruit,tropical fruit,pip fruit,herbs,other vegetables,whole milk,yogurt,spread cheese,brown bread,dog food,fruit/vegetable juice,,
beef,whole milk,margarine,salty snack,,,,,,,,,,
other vegetables,bottled water,bottled beer,waffles,,,,,,,,,,
ham,tropical fruit,beverages,hard cheese,waffles,chocolate,specialty chocolate,specialty bar,,,,,,
yogurt,frozen vegetables,napkins,newspapers,pot plants,,,,,,,,,
other vegetables,frozen fish,vinegar,,,,,,,,,,,
whole milk,domestic eggs,cling film/bags,,,,,,,,,,,
root vegetables,UHT-milk,rolls/buns,brown bread,pastry,bottled water,,,,,,,,
frankfurter,liver loaf,pip fruit,whole milk,yogurt,beverages,cream cheese ,frozen vegetables,frozen meals,brown bread,pastry,cereals,bottled water,soda
bottled beer,,,,,,,,,,,,,
hamburger meat,pip fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,salt,vinegar,oil,margarine,spices,coffee,bottled beer
sausage,packaged fruit/vegetables,whole milk,brown bread,bottled water,newspapers,,,,,,,,
chicken,beef,root vegetables,brown bread,margarine,cat food,bottled water,soda,,,,,,
dishes,,,,,,,,,,,,,
pork,root vegetables,sliced cheese,specialty chocolate,specialty bar,napkins,shopping bags,,,,,,,
frankfurter,chicken,pork,citrus fruit,root vegetables,whole milk,yogurt,brown bread,instant coffee,seasonal products,,,,
napkins,,,,,,,,,,,,,
root vegetables,UHT-milk,soda,,,,,,,,,,,
chicken,beef,root vegetables,whole milk,cream cheese ,pet care,newspapers,,,,,,,
frankfurter,rolls/buns,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
sausage,ham,grapes,other vegetables,UHT-milk,frozen meals,frozen potato products,rolls/buns,waffles,chocolate,candy,,,
frankfurter,sausage,pork,sliced cheese,pastry,margarine,newspapers,,,,,,,
bottled water,,,,,,,,,,,,,
other vegetables,whole milk,yogurt,ice cream,flour,margarine,baking powder,pudding powder,,,,,,
rolls/buns,,,,,,,,,,,,,
frankfurter,pork,citrus fruit,other vegetables,domestic eggs,pastry,ketchup,pickled vegetables,soda,syrup,skin care,newspapers,,
sausage,whole milk,UHT-milk,rolls/buns,sugar,canned beer,shopping bags,,,,,,,
frankfurter,chicken,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,whipped/sour cream,salad dressing,frozen dessert,frozen potato products,pastry,rice
whole milk,pastry,,,,,,,,,,,,
beef,citrus fruit,pip fruit,root vegetables,other vegetables,pastry,flour,canned beer,red/blush wine,,,,,
canned beer,,,,,,,,,,,,,
frankfurter,margarine,bottled beer,,,,,,,,,,,
frozen chicken,salty snack,,,,,,,,,,,,
pork,whipped/sour cream,ice cream,rolls/buns,bottled water,chocolate,dish cleaner,,,,,,,
tropical fruit,berries,other vegetables,butter,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,,,,,
other vegetables,,,,,,,,,,,,,
coffee,soda,,,,,,,,,,,,
meat,other vegetables,whole milk,whipped/sour cream,rolls/buns,margarine,soda,shopping bags,,,,,,
citrus fruit,soft cheese,rolls/buns,pastry,,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,whipped/sour cream,curd cheese,frozen vegetables,soups,cat food,chewing gum,,,
other vegetables,salty snack,dishes,house keeping products,,,,,,,,,,
beef,root vegetables,,,,,,,,,,,,
dishes,,,,,,,,,,,,,
shopping bags,,,,,,,,,,,,,
tropical fruit,other vegetables,whipped/sour cream,beverages,hard cheese,cream cheese ,flour,sweet spreads,soda,long life bakery product,,,,
hamburger meat,other vegetables,sauces,soda,salty snack,newspapers,,,,,,,,
sausage,other vegetables,dessert,pastry,waffles,dish cleaner,,,,,,,,
whole milk,curd,semi-finished bread,baking powder,soda,,,,,,,,,
other vegetables,,,,,,,,,,,,,
ice cream,,,,,,,,,,,,,
turkey,other vegetables,whipped/sour cream,canned vegetables,instant coffee,bottled water,red/blush wine,,,,,,,
pip fruit,berries,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,pastry,margarine,,,,,
chicken,hamburger meat,root vegetables,onions,other vegetables,whole milk,butter,curd,butter milk,frozen vegetables,domestic eggs,oil,canned vegetables,popcorn
root vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,baking powder,liqueur,,,,,,,
sausage,meat,rolls/buns,canned beer,popcorn,nut snack,waffles,shopping bags,,,,,,
pickled vegetables,canned fish,soda,bottled beer,chewing gum,candles,,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,condensed milk,,,,,,,,,,
meat,frozen meals,roll products ,bottled beer,long life bakery product,,,,,,,,,
berries,butter milk,yogurt,pet care,soda,napkins,,,,,,,,
chewing gum,,,,,,,,,,,,,
specialty chocolate,,,,,,,,,,,,,
sausage,,,,,,,,,,,,,
butter milk,rolls/buns,long life bakery product,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
frankfurter,onions,herbs,other vegetables,yogurt,whipped/sour cream,fruit/vegetable juice,,,,,,,
bottled water,bottled beer,,,,,,,,,,,,
pork,root vegetables,shopping bags,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,
soda,,,,,,,,,,,,,
yogurt,beverages,fruit/vegetable juice,detergent,cleaner,,,,,,,,,
pet care,,,,,,,,,,,,,
pork,whole milk,sliced cheese,,,,,,,,,,,
tropical fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,frozen vegetables,coffee,bottled water,soda,salty snack,long life bakery product,specialty bar,
organic sausage,whole milk,yogurt,soft cheese,cream cheese ,fruit/vegetable juice,napkins,shopping bags,,,,,,
ham,other vegetables,whole milk,butter,yogurt,flour,oil,spices,,,,,,
sausage,hamburger meat,berries,UHT-milk,cat food,soda,salty snack,napkins,,,,,,
whole milk,pastry,,,,,,,,,,,,
frozen fish,canned beer,waffles,,,,,,,,,,,
whipped/sour cream,,,,,,,,,,,,,
pork,other vegetables,yogurt,white bread,bottled beer,napkins,shopping bags,,,,,,,
UHT-milk,bottled water,specialty chocolate,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,
specialty chocolate,,,,,,,,,,,,,
sausage,,,,,,,,,,,,,
frozen meals,,,,,,,,,,,,,
specialty chocolate,specialty bar,,,,,,,,,,,,
whole milk,butter,curd,yogurt,whipped/sour cream,rolls/buns,,,,,,,,
whole milk,yogurt,soda,canned beer,,,,,,,,,,
pip fruit,root vegetables,butter,UHT-milk,rolls/buns,coffee,soda,bottled beer,red/blush wine,,,,,
frozen meals,soda,,,,,,,,,,,,
frankfurter,other vegetables,whole milk,spread cheese,sugar,soda,bottled beer,house keeping products,,,,,,
pip fruit,onions,other vegetables,whole milk,butter,soft cheese,domestic eggs,white bread,margarine,cocoa drinks,bottled water,fruit/vegetable juice,chocolate,
rolls/buns,rice,canned fish,cocoa drinks,bottled beer,red/blush wine,waffles,chocolate,,,,,,
sausage,ham,other vegetables,whole milk,curd,cream cheese ,processed cheese,frozen potato products,pastry,,,,,
pet care,instant coffee,soda,specialty chocolate,,,,,,,,,,
instant coffee,,,,,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,,,,
herbs,bottled water,napkins,,,,,,,,,,,
meat,dessert,UHT-milk,rice,specialty bar,napkins,candles,,,,,,,
pip fruit,root vegetables,other vegetables,dessert,domestic eggs,margarine,cereals,soda,candles,,,,,
citrus fruit,soft cheese,domestic eggs,pastry,oil,baking powder,pickled vegetables,dog food,coffee,,,,,
sausage,meat,chicken,pip fruit,whole milk,dessert,whipped/sour cream,processed cheese,domestic eggs,rolls/buns,white bread,pickled vegetables,soda,fruit/vegetable juice
frankfurter,whipped/sour cream,condensed milk,rolls/buns,bottled water,soda,bottled beer,specialty bar,,,,,,
canned beer,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
other vegetables,frozen potato products,coffee,salty snack,specialty chocolate,shopping bags,,,,,,,,
soda,,,,,,,,,,,,,
soda,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,
ham,frozen potato products,white bread,pastry,cat food,bottled water,soda,candy,sound storage medium,shopping bags,,,,
frankfurter,citrus fruit,canned vegetables,coffee,,,,,,,,,,
soda,specialty chocolate,newspapers,,,,,,,,,,,
whole milk,UHT-milk,domestic eggs,newspapers,,,,,,,,,,
whole milk,,,,,,,,,,,,,
misc. beverages,canned beer,shopping bags,,,,,,,,,,,
root vegetables,other vegetables,whole milk,specialty bar,dishes,,,,,,,,,
other vegetables,margarine,,,,,,,,,,,,
butter,,,,,,,,,,,,,
bottled beer,chocolate,specialty bar,,,,,,,,,,,
whole milk,pastry,flour,salt,vinegar,,,,,,,,,
pip fruit,berries,,,,,,,,,,,,
male cosmetics,,,,,,,,,,,,,
meat,turkey,citrus fruit,tropical fruit,herbs,other vegetables,frozen meals,shopping bags,,,,,,
bottled water,soda,dishes,,,,,,,,,,,
pastry,syrup,,,,,,,,,,,,
sausage,whole milk,yogurt,sliced cheese,rolls/buns,coffee,soda,canned beer,specialty bar,,,,,
pork,pip fruit,other vegetables,butter,rice,margarine,soda,waffles,shopping bags,,,,,
packaged fruit/vegetables,,,,,,,,,,,,,
other vegetables,pet care,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,
pip fruit,whole milk,domestic eggs,margarine,soda,chocolate,napkins,,,,,,,
liquor,,,,,,,,,,,,,
whole milk,pastry,vinegar,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
photo/film,,,,,,,,,,,,,
tropical fruit,grapes,onions,other vegetables,yogurt,domestic eggs,oil,pudding powder,pickled vegetables,salty snack,waffles,specialty bar,,
domestic eggs,misc. beverages,,,,,,,,,,,,
meat,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,seasonal products,shopping bags,,,,,,
meat,whipped/sour cream,coffee,chewing gum,dishes,,,,,,,,,
pork,root vegetables,cream cheese ,frozen fish,flour,sugar,decalcifier,shopping bags,,,,,,
rolls/buns,bottled beer,,,,,,,,,,,,
coffee,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
butter milk,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,
organic sausage,citrus fruit,whole milk,whipped/sour cream,hard cheese,rolls/buns,pastry,bottled beer,long life bakery product,detergent,napkins,house keeping products,candles,
napkins,,,,,,,,,,,,,
organic sausage,pip fruit,root vegetables,other vegetables,pastry,salty snack,dishes,,,,,,,
tropical fruit,pip fruit,other vegetables,whole milk,ice cream,pastry,red/blush wine,,,,,,,
chocolate marshmallow,,,,,,,,,,,,,
frankfurter,root vegetables,packaged fruit/vegetables,soda,hygiene articles,,,,,,,,,
cling film/bags,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,yogurt,pastry,margarine,cat food,pet care,bottled water,chocolate,specialty bar,dental care,napkins,
liquor,specialty bar,,,,,,,,,,,,
brown bread,bottled water,soda,canned beer,,,,,,,,,,
ice cream,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,
processed cheese,rolls/buns,detergent,dish cleaner,flower soil/fertilizer,,,,,,,,,
chicken,tropical fruit,pip fruit,other vegetables,whole milk,whipped/sour cream,frozen vegetables,coffee,,,,,,
tropical fruit,other vegetables,rolls/buns,white bread,bottled beer,pot plants,,,,,,,,
whole milk,pickled vegetables,bottled water,fruit/vegetable juice,candy,,,,,,,,,
citrus fruit,specialty bar,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,
sausage,finished products,beef,citrus fruit,onions,other vegetables,whole milk,dessert,frozen dessert,brown bread,canned vegetables,canned fruit,soda,
sausage,other vegetables,semi-finished bread,soda,,,,,,,,,,
pip fruit,rolls/buns,bottled water,soda,specialty chocolate,,,,,,,,,
other vegetables,misc. beverages,fruit/vegetable juice,long life bakery product,shopping bags,,,,,,,,,
sausage,other vegetables,spread cheese,rolls/buns,soda,salty snack,long life bakery product,,,,,,,
tropical fruit,whole milk,ice cream,,,,,,,,,,,
pastry,sugar,coffee,liquor (appetizer),,,,,,,,,,
coffee,napkins,,,,,,,,,,,,
ham,meat,whole milk,dessert,butter milk,whipped/sour cream,sliced cheese,rolls/buns,soda,fruit/vegetable juice,,,,
liquor,,,,,,,,,,,,,
sausage,pork,tropical fruit,other vegetables,yogurt,bottled beer,red/blush wine,dishes,,,,,,
frozen chicken,fruit/vegetable juice,bottled beer,shopping bags,,,,,,,,,,
frankfurter,sausage,ham,hard cheese,processed cheese,,,,,,,,,
bottled water,canned beer,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,
berries,root vegetables,packaged fruit/vegetables,whipped/sour cream,UHT-milk,instant coffee,,,,,,,,
dessert,fruit/vegetable juice,nut snack,specialty bar,,,,,,,,,,
pip fruit,sweet spreads,,,,,,,,,,,,
pork,packaged fruit/vegetables,whole milk,white bread,liquor,chocolate marshmallow,,,,,,,,
frankfurter,root vegetables,butter milk,rolls/buns,semi-finished bread,ready soups,bottled water,misc. beverages,shopping bags,,,,,
bottled water,misc. beverages,liquor,chewing gum,,,,,,,,,,
tropical fruit,other vegetables,whipped/sour cream,white bread,,,,,,,,,,
pip fruit,white bread,coffee,soda,fruit/vegetable juice,bottled beer,sparkling wine,,,,,,,
tropical fruit,UHT-milk,pastry,chocolate,napkins,shopping bags,,,,,,,,
bottled beer,liquor,,,,,,,,,,,,
candles,,,,,,,,,,,,,
spread cheese,soda,,,,,,,,,,,,
pork,tropical fruit,herbs,whole milk,ice cream,chocolate marshmallow,candy,toilet cleaner,dental care,,,,,
canned beer,white wine,,,,,,,,,,,,
pork,bottled water,rum,white wine,flower (seeds),,,,,,,,,
beverages,frozen vegetables,coffee,soda,fruit/vegetable juice,cling film/bags,,,,,,,,
sausage,beef,tropical fruit,onions,frozen vegetables,domestic eggs,white bread,semi-finished bread,sugar,baking powder,canned fish,coffee,seasonal products,
tropical fruit,yogurt,whipped/sour cream,,,,,,,,,,,
UHT-milk,,,,,,,,,,,,,
soda,salty snack,specialty bar,candy,,,,,,,,,,
ham,hamburger meat,whole milk,yogurt,domestic eggs,white bread,Instant food products,chocolate,,,,,,
white wine,specialty bar,,,,,,,,,,,,
UHT-milk,pastry,waffles,,,,,,,,,,,
sausage,pip fruit,whole milk,sliced cheese,frozen vegetables,frozen meals,napkins,shopping bags,,,,,,
whisky,chewing gum,,,,,,,,,,,,
misc. beverages,bottled beer,white wine,,,,,,,,,,,
white wine,,,,,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,,,,
margarine,misc. beverages,,,,,,,,,,,,
other vegetables,yogurt,soft cheese,domestic eggs,brown bread,roll products ,cat food,coffee,bottled water,canned beer,specialty chocolate,specialty bar,detergent,softener
chicken,root vegetables,whole milk,butter milk,rolls/buns,soda,dish cleaner,baby cosmetics,kitchen towels,,,,,
other vegetables,coffee,bottled water,salty snack,,,,,,,,,,
sausage,pork,other vegetables,rolls/buns,pickled vegetables,specialty bar,shopping bags,,,,,,,
pastry,chocolate,candles,,,,,,,,,,,
processed cheese,ketchup,seasonal products,,,,,,,,,,,
rolls/buns,pot plants,,,,,,,,,,,,
chicken,whipped/sour cream,ice cream,frozen potato products,soda,candy,shopping bags,,,,,,,
berries,soda,long life bakery product,specialty chocolate,,,,,,,,,,
frankfurter,chicken,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,pastry,oil,bottled water,soda
whole milk,yogurt,,,,,,,,,,,,
pip fruit,berries,whole milk,yogurt,hard cheese,frozen vegetables,popcorn,,,,,,,
soda,,,,,,,,,,,,,
soda,fruit/vegetable juice,waffles,,,,,,,,,,,
yogurt,ice cream,soda,long life bakery product,candy,,,,,,,,,
pork,root vegetables,other vegetables,dessert,condensed milk,hard cheese,specialty cheese,frozen vegetables,ice cream,pickled vegetables,canned fish,cat food,salty snack,nut snack
onions,,,,,,,,,,,,,
liquor,,,,,,,,,,,,,
onions,,,,,,,,,,,,,
beef,bottled beer,cake bar,,,,,,,,,,,
rolls/buns,pickled vegetables,coffee,bottled water,red/blush wine,,,,,,,,,
